Sun	Star	1	1	4.24	5772	-26.74
Proxima Centauri	Star	   0.1236 	0.1542	4.24	3050	11.13
Earth	Planet	3.016e-6	0.00915	0	288	-3.86
Jupiter	Planet	0.00096	0.1004	4.2	165	-2.94
Andromeda Galaxy	Galaxy	7.576e11	1.4959e12	2.5e6	10000	3.44
Orion Nebula	Nebula	2000	1.631e8	1344	10000	4.0
Crab Nebula	Nebula	4.6	7.479e7	6523	11000	8.4
M87	Galaxy	3.3e12	8.159e11	53.5e6	9000	8.6
Saturn	Planet	5.2.87e-4	0.0836	9.58	134	0.46
Alpha Centauri A	Star	1.105 	1712000	4.37	5800	-0.01
Milky Way	Galaxy  10e11	7,187e11	8.37	2.73	-20.9
Antares	Star	7.575	679.38	0.17	3500	0.96
253 Mathilde	Other	5.42e-14	3.59e-6	1.48e-5	174	0
1	1	1	1	1	1	1
